Title,Slug,Topic_Meta_Value,Categories
IV Seminario internacional de mineria y planeamiento minero,iv-seminario-internacional-de-mineria-y-planeamiento-minero,01-general-mining,mining:15 Planning
Minexcellence 2024,minexcellence-2024,01-general-mining,mining:18 Performance levels
GEOSTATISTICAL INPUTS TO RESOURCE CLASSIFICATION,geostatistical-inputs-to-resource-classification,01-general-mining,mining:11 Resource estimation
PERUMIN 37 Convención Minera,perumin-37,01-general-mining,mining:01 General mining
ENCUENTRO NACIONAL DESCENTRALIZADO DE LÍDERES ESTUDIANTILES MINEROS,encuentro-nacional-descentralizado-de-lideres-estudiantiles-mineros,01-general-mining,mining:01 General mining
Mine Planning and Design Series 2025 Online,mine-planning-and-design-series-2025-online,,mining:14 Optimization and design
Minexpo international,minexpo-international,01-general-mining,mining:01 General mining
EXPOCOBRE 2024,expocobre-2024,01-general-mining,mining:01 General mining
EXPOSIBRAM 2024,exposibram-2024,01-general-mining,mining:01 General mining
Seminario Internacional de Litio en Sudamerica 2024,seminario-internacional-de-litio-en-sudamerica-2024,01-general-mining,mining:01 General mining
WIM 2025 Annual Conference: Empowering the Future of Mining,wim-2025-annual-conference-empowering-the-future-of-mining,01-general-mining,mining:01 General mining
20 Annual General Meeting 2024 (AGM),annual-general-meeting-agm,01-general-mining,mining:01 General mining
XXII CONGRESO PERUANO DE GEOLOGÍA 2024,xxii-congreso-peruano-de-geologia-2024,01-general-mining,mining:01 General mining
9th Fujairah International Mining Forum,9th-fujairah-international-mining-forum,01-general-mining,mining:01 General mining
CGS 2024 Colombia,cgs-2024-colombia,01-general-mining,mining:01 General mining
Mineral Resources and Mineral Reserves Conference,mineral-resources-and-mineral-reserves-conference,01-general-mining,mining:11 Resource estimation
Mining Indonesia 2025,mining-indonesia,01-general-mining,mining:01 General mining
Argentina Mining 2024,argentina-mining-2024,01-general-mining,mining:01 General mining
Congreso Minero Durango 2024,congreso-minero-durango-2024,01-general-mining,mining:01 General mining
Congreso Internacional de Mineria  Sonora 2024,congreso-internacional-de-mineria-sonora-2024,01-general-mining,mining:01 General mining
UMining  Tercer Congreso Iberamericano de Minería Subterránea y a Cielo Abierto,umining-tercer-congreso-iberamericano-de-mineria-subterranea-y-a-cielo-abierto,01-general-mining,mining:01 General mining
Congreso Internacional de WIM Perú: Minería al 2050,congreso-internacional-de-wim-peru-mineria-al-2050,01-general-mining,mining:01 General mining
2024 Joburg Indaba,2024-joburg-indaba,01-general-mining,mining:01 General mining
XXIII Simposium de Ingeniería en Minas  SIMIN 2023 (USACH),xxiii-simposium-de-ingenieria-en-minas-simin-2023-usach,01-general-mining,mining:01 General mining
Congreso Nacional de Minería 2024,congreso-nacional-de-mineria-2024,01-general-mining,mining:01 General mining
Argentina Gold  Silver and Copper,argentina-gold-silver-and-copper-2,01-general-mining,mining:01 General mining
ExpoMINA Peru 2024,expomina-peru-2024,01-general-mining,mining:01 General mining
30th Central Asian International Mining Exploration & Mining Equipment Exhibition,30th-central-asian-international-mining-exploration-mining-equipment-exhibition,01-general-mining,mining:01 General mining
IV Seminario Internacional de Minería y Planeamiento Minero 2023,iv-seminario-internacional-de-mineria-y-planeamiento-minero-2023,01-general-mining,mining:15 Planning
MINEX Eurasia’ 24,minex-eurasia-24,01-general-mining,mining:01 General mining
Innovation Summit SCL 2024 de Orica,innovation-summit-scl-2024-de-orica,01-general-mining,mining:06 Blasting
121 Mining Investment,121-mining-investment,01-general-mining,mining:01 General mining
Panamgeo Chile 2024,panamgeo-chile-2024,01-general-mining,mining:04 Geotechnics
GEOTECH ESTABILIDAD DE TALUDES,geotech-estabilidad-de-taludes,01-general-mining,mining:04 Geotechnics
GEOTECH ESTABILIDAD DE TALUDES online,geotech-estabilidad-de-taludes-online,01-general-mining,mining:04 Geotechnics
IV SEMANA DE CONFERENCIAS VIRTUALES DE GEOINGENIERÍA – 2024,iv-semana-de-conferencias-virtuales-de-geoingenieria-2024,01-general-mining,mining:04 Geotechnics
The Ventsim User Conference VUC2025,the-ventsim-user-conference-vuc2025,01-general-mining,mining:08 Ventilation
EXPOCOBRE 2026,expocobre-2026,01-general-mining,mining:01 General mining
Congreso Nacional en Derecho Minero Energético,congreso-nacional-en-derecho-minero-energetico,01-general-mining,mining:24 Legal and tax
2024 Precious Metals Summit Zurich,2024-precious-metals-summit-zurich,01-general-mining,mining:17 Finances and markets
Safemining 2024,safemining-2024,01-general-mining,mining:21 QHSE
Cisco Mining Summit 2024,cisco-mining-summit-2024,01-general-mining,mining:01 General mining
WBI – World Blasting Innovators Event,wbi-world-blasting-innovators-event,01-general-mining,mining:06 Blasting
FRAGBLAST 2025. International Symposium on Rock Fragmentation by Blasting,fragblast-2025-international-symposium-on-rock-fragmentation-by-blasting,01-general-mining,mining:06 Blasting
The Mining Show,the-mining-show,01-general-mining,mining:01 General mining
The Rule Symposium  annual natural resource symposium,the-rule-symposium-annual-natural-resource-symposium,01-general-mining,mining:17 Finances and markets
M&T Expo 2027  12ª edition of the Largest trade fair of Construction and Mining in Latin America,mt-expo-2024-12a-edition-of-the-largest-trade-fair-of-construction-and-mining-in-latin-america,01-general-mining,mining:20 Facilities
MINTEK@90 Conference,mintek90-conference,01-general-mining,mining:01 General mining
Mining Future Summit,mining-future-summit,01-general-mining,mining:01 General mining
ENAEP Encuentro Anual de Minería 2024,enaep-encuentro-anual-de-mineria-2024,01-general-mining,mining:01 General mining
